cge:100682535	CDS	1	Abcb4; phosphatidylcholine translocator ABCB4
cge:100682536	CDS	1	Abcb1; ATP-dependent translocase ABCB1
cge:100682537	CDS	1	Abcb1b; multidrug resistance protein 2
cge:100689009	CDS	1	MHC class I antigen Hm1-C4 precursor
cge:100689010	CDS	1	MHC class I antigen Hm1-C2 precursor
cge:100689011	CDS	1	MHC class I antigen Hm1-C3 precursor
cge:100689023	CDS	1	Slc20a2; sodium-dependent phosphate transporter 2
cge:100689030	CDS	1	Slc35b4; UDP-xylose and UDP-N-acetylglucosamine transporter
cge:100689039	CDS	1	Cdk2; cyclin-dependent kinase 2
cge:100689040	CDS	1	Hmga1; high mobility group protein HMG-I/HMG-Y
cge:100689059	CDS	1	Cxcl1; growth-regulated alpha protein precursor
cge:100689061	CDS	1	Casp3; caspase-3
cge:100689062	CDS	1	Xbp1; X-box-binding protein 1 isoform 2
cge:100689070	CDS	1	Gnai1; guanine nucleotide-binding protein G(i) subunit alpha-1
cge:100689072	CDS	1	Gnai3; guanine nucleotide-binding protein G(i) subunit alpha
cge:100689091	CDS	1	Tubb; tubulin beta-5 chain
cge:100689092	CDS	1	Bst2; bone marrow stromal antigen 2
cge:100689100	CDS	1	Cxcl3; C-X-C motif chemokine 3 precursor
cge:100689238	CDS	1	Aimp1; aminoacyl tRNA synthase complex-interacting multifunctional protein 1
cge:100689277	CDS	1	Ap3m1; AP-3 complex subunit mu-1 isoform 2
cge:100689281	CDS	1	Apex1; DNA-(apurinic or apyrimidinic site) lyase
cge:100689282	CDS	1	Nat2; arylamine N-acetyltransferase 2
cge:100689286	CDS	1	Gjb6; gap junction beta-6 protein
cge:100689288	CDS	1	Ear10; eosinophil-associated, ribonuclease A family, member 10 precursor
cge:100689289	CDS	1	Ear11; non-secretory ribonuclease precursor
cge:100689291	CDS	1	Ear7; eosinophil-associated, ribonuclease A family, member 7 precursor
cge:100736551	CDS	1	Adk; adenosine kinase
cge:100689412	CDS	1	Cope; coatomer subunit epsilon
cge:100689445	CDS	1	Casp2; caspase-2
cge:100689451	CDS	1	Dpm3; dolichol-phosphate mannosyltransferase subunit 3 precursor
cge:100689465	CDS	1	Cep135; centrosomal protein of 135 kDa
cge:100689471	CDS	1	Htr2a; 5-hydroxytryptamine receptor 2A
cge:100689475	CDS	1	Elk3; ETS domain-containing protein Elk-3
cge:100689313	CDS	1	Sec22b; vesicle-trafficking protein SEC22b precursor
cge:100689318	CDS	1	Akr1b8; aldose reductase-related protein 2
cge:100689323	CDS	1	Fxr1; fragile X mental retardation syndrome-related protein 1
cge:100689325	CDS	1	Ugp2; UTP--glucose-1-phosphate uridylyltransferase
cge:100689336	CDS	1	Mmp14; matrix metalloproteinase-14 precursor
cge:100689337	CDS	1	Glul; glutamine synthetase
cge:100689339	CDS	1	Dbf4; protein DBF4 homolog A
cge:100689351	CDS	1	Slc1a4; neutral amino acid transporter A
cge:100689353	CDS	1	C1d; nuclear nucleic acid-binding protein C1D
cge:100689364	CDS	1	Cyren; cell cycle regulator of non-homologous end joining
cge:100689368	CDS	1	Bak1; bcl-2 homologous antagonist/killer
cge:100689373	CDS	1	Neu1; sialidase-1 precursor
cge:100689378	CDS	1	Pex13; peroxisome biogenesis factor 13
cge:100689379	CDS	1	S100b; protein S100-B
cge:100689387	CDS	1	Gphr; Golgi pH regulator
cge:100689394	CDS	1	Slc35a3; UDP-N-acetylglucosamine transporter
cge:100689396	CDS	1	Slc10a2; ileal sodium/bile acid cotransporter
cge:100689404	CDS	1	Pld1; phospholipase D1
cge:100689406	CDS	1	Lamp1; lysosome-associated membrane glycoprotein 1 precursor
cge:100689407	CDS	1	Slc19a1; reduced folate transporter
cge:100771635	CDS	1	Selenok; selenoprotein K
cge:100762068	CDS	1	Selenom; selenoprotein M precursor
cge:100768242	CDS	1	Selenot; thioredoxin reductase-like selenoprotein T precursor
cge:100750444	CDS	1	Selenof; selenoprotein F precursor
cge:100771594	CDS	1	Txnrd1; thioredoxin reductase 1, cytoplasmic
cge:100760258	CDS	1	Pdgfra; platelet-derived growth factor receptor alpha precursor
cge:100689042	CDS	1	Orc5; origin recognition complex subunit 5
cge:100770669	CDS	1	Oaz3; ornithine decarboxylase antizyme 3
cge:105349233	CDS	1	Synb; syncytin b precursor
cge:100755241	CDS	1	THO complex subunit 2
cge:100689261	rRNA	Unknown	Rn5-8s; 5.8S ribosomal RNA
cge:100689259	rRNA	Unknown	Rn28s1; 28S ribosomal RNA
cge:102464853	ncRNA	1	Mir129; cgr-miR-129
cge:102464857	ncRNA	1	Mir137; cgr-miR-137-5p
cge:102464868	ncRNA	1	Mir15a; cgr-miR-15a-5p
cge:102466529	ncRNA	1	Mir15b; cgr-miR-15b-5p
cge:102464869	ncRNA	1	Mir16; cgr-miR-16-5p
cge:102464870	ncRNA	1	Mir17; cgr-miR-17-5p
cge:102466955	ncRNA	1	Mir182; cgr-miR-182
cge:102466531	ncRNA	1	Mir183; cgr-miR-183
cge:102464877	ncRNA	1	Mir186; cgr-miR-186-5p
cge:102466110	ncRNA	1	Mir18a; cgr-miR-18a-5p
cge:102464881	ncRNA	1	Mir190b; cgr-miR-190b
cge:102464885	ncRNA	1	Mir1956; cgr-miR-1956
cge:102466536	ncRNA	1	Mir19a; cgr-miR-19a
cge:102464890	ncRNA	1	Mir19b; cgr-miR-19b-5p
cge:102464894	ncRNA	1	Mir206; cgr-miR-206
cge:102466956	ncRNA	1	Mir20a; cgr-miR-20a
cge:102466540	ncRNA	1	Mir26a-2; cgr-miR-26a
cge:102466114	ncRNA	1	Mir29a; cgr-miR-29a-5p
cge:102464909	ncRNA	1	Mir29b; cgr-miR-29b-5p
cge:102464912	ncRNA	1	Mir30a; cgr-miR-30a-5p
cge:102464913	ncRNA	1	Mir30c-2; cgr-miR-30c
