sabio_entry_id	ec_number	kegg_reaction_id	enzyme_name	parameter_type	parameter_value	parameter_unit	substrate	organism	tissue	temperature	ph	pubmed_id
REAC_61	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS	kcat	3	swedgeone		Cricetulus griseus		37.0	7.5
REAC_61	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS	Km	4.4E-7	M	tRNA(Arg)	Cricetulus griseus		37.0	7.5
REAC_61	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS	Km	6.8	Mwedgeoneswedgeone	kcat_Km_tRNAArg	Cricetulus griseus		37.0	7.5
REAC_62	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y	Km	0.19	Mwedgeoneswedgeone	kcat_Km_tRNAArg	Cricetulus griseus		37.0	7.5
REAC_62	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y	kcat	0.24	swedgeone		Cricetulus griseus		37.0	7.5
REAC_62	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y	Km	1.25E-6	M	tRNA(Arg)	Cricetulus griseus		37.0	7.5
REAC_63	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRSdeltaN	Km	4.1E-7	M	tRNA(Arg)	Cricetulus griseus		37.0	7.5
REAC_63	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRSdeltaN	Km	10	Mwedgeoneswedgeone	kcat_Km_tRNAArg	Cricetulus griseus		37.0	7.5
REAC_63	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRSdeltaN	kcat	4.1	swedgeone		Cricetulus griseus		37.0	7.5
REAC_64	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS	Km	5.6	Mwedgeoneswedgeone	kcat_Km_tRNAArg	Cricetulus griseus		25.0	7.5
REAC_64	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS	kcat	1.8	swedgeone		Cricetulus griseus		25.0	7.5
REAC_64	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS	Km	3.2E-7	M	tRNA(Arg)	Cricetulus griseus		25.0	7.5
REAC_65	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y	Km	1.8E-6	M	Km_1_LArginine	Cricetulus griseus		37.0	7.5
REAC_65	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y	kcat	0.23	swedgeone	kcat_2	Cricetulus griseus		37.0	7.5
REAC_65	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y	kcat	0.04	swedgeone	kcat_1	Cricetulus griseus		37.0	7.5
REAC_65	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y	Km	0.000141	M	Km_2_LArginine	Cricetulus griseus		37.0	7.5
REAC_65	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y	Km	1600	Mwedgeoneswedgeone	kcat_2_Km_2_LArginine	Cricetulus griseus		37.0	7.5
REAC_65	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y	Km	22000	Mwedgeoneswedgeone	kcat_1_Km_1_LArginine	Cricetulus griseus		37.0	7.5
REAC_66	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y	Km	18000	Mwedgeoneswedgeone	kcat_2_Km_2_LArginine	Cricetulus griseus		25.0	7.5
REAC_66	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y	kcat	0.25	swedgeone	kcat_2	Cricetulus griseus		25.0	7.5
REAC_66	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y	Km	3E-7	M	Km_1_LArginine	Cricetulus griseus		25.0	7.5
REAC_66	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y	Km	1.4E-5	M	Km_2_LArginine	Cricetulus griseus		25.0	7.5
REAC_66	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y	Km	200000	Mwedgeoneswedgeone	kcat_1_Km_1_LArginine	Cricetulus griseus		25.0	7.5
REAC_66	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y	kcat	0.06	swedgeone	kcat_1	Cricetulus griseus		25.0	7.5
REAC_67	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/M222I	Km	9000	Mwedgeoneswedgeone	kcat_2_Km_2_LArginine	Cricetulus griseus		25.0	7.5
REAC_67	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/M222I	Km	2.9E-5	M	Km_2_LArginine	Cricetulus griseus		25.0	7.5
REAC_67	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/M222I	Km	170000	Mwedgeoneswedgeone	kcat_1_Km_1_LArginine	Cricetulus griseus		25.0	7.5
REAC_67	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/M222I	kcat	0.05	swedgeone	kcat_1	Cricetulus griseus		25.0	7.5
REAC_67	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/M222I	Km	3E-7	M	Km_1_LArginine	Cricetulus griseus		25.0	7.5
REAC_67	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/M222I	kcat	0.25	swedgeone	kcat_2	Cricetulus griseus		25.0	7.5
REAC_68	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/M222I	Km	6E-7	M	Km_1_LArginine	Cricetulus griseus		37.0	7.5
REAC_68	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/M222I	Km	6000	Mwedgeoneswedgeone	kcat_2_Km_2_LArginine	Cricetulus griseus		37.0	7.5
REAC_68	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/M222I	kcat	0.14	swedgeone	kcat_2	Cricetulus griseus		37.0	7.5
REAC_68	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/M222I	kcat	0.04	swedgeone	kcat_1	Cricetulus griseus		37.0	7.5
REAC_68	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/M222I	Km	2.3E-5	M	Km_2_LArginine	Cricetulus griseus		37.0	7.5
REAC_68	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/M222I	Km	70000	Mwedgeoneswedgeone	kcat_1_Km_1_LArginine	Cricetulus griseus		37.0	7.5
REAC_69	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/Y506S	Km	1.4	Mwedgeoneswedgeone	kcat_Km_tRNAArg	Cricetulus griseus		37.0	7.5
REAC_69	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/Y506S	kcat	0.5	swedgeone		Cricetulus griseus		37.0	7.5
REAC_69	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/Y506S	Km	3.5E-7	M	tRNA(Arg)	Cricetulus griseus		37.0	7.5
REAC_70	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant Y506S	Km	0.78	Mwedgeoneswedgeone	kcat_Km_tRNAArg	Cricetulus griseus		37.0	7.5
REAC_70	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant Y506S	Km	9.5E-7	M	tRNA(Arg)	Cricetulus griseus		37.0	7.5
REAC_70	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant Y506S	kcat	0.74	swedgeone		Cricetulus griseus		37.0	7.5
REAC_71	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant Y506S	Km	3.3E-7	M	tRNA(Arg)	Cricetulus griseus		25.0	7.5
REAC_71	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant Y506S	kcat	0.71	swedgeone		Cricetulus griseus		25.0	7.5
REAC_71	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant Y506S	Km	2.15	Mwedgeoneswedgeone	kcat_Km_tRNAArg	Cricetulus griseus		25.0	7.5
REAC_72	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant M222I	Km	2.8E-7	M	tRNA(Arg)	Cricetulus griseus		37.0	7.5
REAC_72	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant M222I	Km	11.4	Mwedgeoneswedgeone	kcat_Km_tRNAArg	Cricetulus griseus		37.0	7.5
REAC_72	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant M222I	kcat	3.2	swedgeone		Cricetulus griseus		37.0	7.5
REAC_73	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant M222I	kcat	1.9	swedgeone		Cricetulus griseus		25.0	7.5
REAC_73	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant M222I	Km	7.9	Mwedgeoneswedgeone	kcat_Km_tRNAArg	Cricetulus griseus		25.0	7.5
REAC_73	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant M222I	Km	2.4E-7	M	tRNA(Arg)	Cricetulus griseus		25.0	7.5
REAC_74	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant Y506S	Km	160000	Mwedgeoneswedgeone	kcat_1_Km_1_LArginine	Cricetulus griseus		37.0	7.5
REAC_74	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant Y506S	Km	11000	Mwedgeoneswedgeone	kcat_2_Km_2_LArginine	Cricetulus griseus		37.0	7.5
REAC_74	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant Y506S	Km	7.1E-5	M	Km_2_LArginine	Cricetulus griseus		37.0	7.5
REAC_74	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant Y506S	kcat	0.19	swedgeone	kcat_1	Cricetulus griseus		37.0	7.5
REAC_74	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant Y506S	kcat	0.77	swedgeone	kcat_2	Cricetulus griseus		37.0	7.5
REAC_74	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant Y506S	Km	1.2E-6	M	Km_1_LArginine	Cricetulus griseus		37.0	7.5
REAC_75	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/Y506S	kcat	0.08	swedgeone	kcat_1	Cricetulus griseus		25.0	7.5
REAC_75	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/Y506S	Km	2.2E-5	M	Km_2_LArginine	Cricetulus griseus		25.0	7.5
REAC_75	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/Y506S	kcat	0.37	swedgeone	kcat_2	Cricetulus griseus		25.0	7.5
REAC_75	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/Y506S	Km	1000000	Mwedgeoneswedgeone	kcat_1_Km_1_LArginine	Cricetulus griseus		25.0	7.5
REAC_75	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/Y506S	Km	8E-8	M	Km_1_LArginine	Cricetulus griseus		25.0	7.5
REAC_75	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/Y506S	Km	17000	Mwedgeoneswedgeone	kcat_2_Km_2_LArginine	Cricetulus griseus		25.0	7.5
REAC_76	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant Y506S	Km	500000	Mwedgeoneswedgeone	kcat_1_Km_1_LArginine	Cricetulus griseus		25.0	7.5
REAC_76	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant Y506S	kcat	0.2	swedgeone	kcat_1	Cricetulus griseus		25.0	7.5
REAC_76	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant Y506S	kcat	0.75	swedgeone	kcat_2	Cricetulus griseus		25.0	7.5
REAC_76	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant Y506S	Km	1E-5	M	Km_2_LArginine	Cricetulus griseus		25.0	7.5
REAC_76	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant Y506S	Km	4E-7	M	Km_1_LArginine	Cricetulus griseus		25.0	7.5
REAC_76	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant Y506S	Km	75000	Mwedgeoneswedgeone	kcat_2_Km_2_LArginine	Cricetulus griseus		25.0	7.5
REAC_77	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/Y506S	kcat	0.54	swedgeone	kcat_2	Cricetulus griseus		37.0	7.5
REAC_77	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/Y506S	Km	3E-7	M	Km_1_LArginine	Cricetulus griseus		37.0	7.5
REAC_77	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/Y506S	Km	7.8E-5	M	Km_2_LArginine	Cricetulus griseus		37.0	7.5
REAC_77	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/Y506S	Km	7000	Mwedgeoneswedgeone	kcat_2_Km_2_LArginine	Cricetulus griseus		37.0	7.5
REAC_77	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/Y506S	Km	430000	Mwedgeoneswedgeone	kcat_1_Km_1_LArginine	Cricetulus griseus		37.0	7.5
REAC_77	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/Y506S	kcat	0.13	swedgeone	kcat_1	Cricetulus griseus		37.0	7.5
REAC_78	3.1.2.2	R01274	palmitoyl-CoA hydrolase(Enzyme) wildtype	Km	2E-6	M	Palmitoyl-CoA	Cricetulus griseus		25.0	7.4
REAC_78	3.1.2.2	R01274	palmitoyl-CoA hydrolase(Enzyme) wildtype	Vmax	2E-6	molswedgeonegwedgeone		Cricetulus griseus		25.0	7.4
REAC_79			Enzyme wildtype GAT1/GFP	Km	0.125	M	Na+	Cricetulus griseus		22.0	7.4
REAC_80			Enzyme wildtype GAT1/GFP	Km	1	M	Na+	Cricetulus griseus		22.0	7.4
REAC_81			Enzyme wildtype GAT1/GFP	Km	4.2E-6	M	4-Aminobutanoate	Cricetulus griseus		22.0	7.4
REAC_81			Enzyme wildtype GAT1/GFP	Vmax	2.5E-8	molswedgeonegwedgeone		Cricetulus griseus		22.0	7.4
REAC_82			Enzyme wildtype GAT1/GFP	Km	4.4E-6	M	4-Aminobutanoate	Cricetulus griseus		22.0	7.4
REAC_82			Enzyme wildtype GAT1/GFP	Vmax	5.166667E-9	molswedgeonegwedgeone		Cricetulus griseus		22.0	7.4
REAC_83	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS	kcat	0.4	swedgeone		Cricetulus griseus		25.0	7.5
REAC_83	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS	Km	1.6E-7	M	tRNA(Arg)	Cricetulus griseus		25.0	7.5
REAC_83	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS	Km	2500000	Mwedgeoneswedgeone	kcat_Km_tRNAArg	Cricetulus griseus		25.0	7.5
REAC_84	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS-deltaN	kcat	0.17	swedgeone		Cricetulus griseus		25.0	7.5
REAC_84	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS-deltaN	Km	8.5E-8	M	tRNA(Arg)	Cricetulus griseus		25.0	7.5
REAC_84	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS-deltaN	Km	2000000	Mwedgeoneswedgeone	kcat_Km_tRNAArg	Cricetulus griseus		25.0	7.5
REAC_85	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS	Km	170000000	Mwedgeoneswedgeone	kcat_Km_tRNAArg	Cricetulus griseus		25.0	7.5
REAC_85	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS	Km	2.3E-8	M	tRNA(Arg)	Cricetulus griseus		25.0	7.5
REAC_85	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS	kcat	3.9	swedgeone		Cricetulus griseus		25.0	7.5
REAC_86	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS-Cx	kcat	1.1	swedgeone		Cricetulus griseus		25.0	7.5
REAC_86	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS-Cx	Km	6E-9	M	tRNA(Arg)	Cricetulus griseus		25.0	7.5
REAC_86	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS-Cx	Km	183000000	Mwedgeoneswedgeone	kcat_Km_tRNAArg	Cricetulus griseus		25.0	7.5
REAC_87	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS-deltaN	kcat	4	swedgeone		Cricetulus griseus		25.0	7.5
REAC_87	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS-deltaN	Km	2.4E-8	M	tRNA(Arg)	Cricetulus griseus		25.0	7.5
REAC_87	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS-deltaN	Km	167000000	Mwedgeoneswedgeone	kcat_Km_tRNAArg	Cricetulus griseus		25.0	7.5
REAC_88	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS-Cx/Casp7	Km	8E-9	M	tRNA(Arg)	Cricetulus griseus		25.0	7.5
REAC_88	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS-Cx/Casp7	kcat	1.4	swedgeone		Cricetulus griseus		25.0	7.5
REAC_88	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS-Cx/Casp7	Km	175000000	Mwedgeoneswedgeone	kcat_Km_tRNAArg	Cricetulus griseus		25.0	7.5
REAC_89	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS-Cx/Casp7	Km	650000	Mwedgeoneswedgeone	kcat_Km_tRNAArg	Cricetulus griseus		25.0	7.5
REAC_89	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS-Cx/Casp7	Km	2E-7	M	tRNA(Arg)	Cricetulus griseus		25.0	7.5
REAC_89	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS-Cx/Casp7	kcat	0.13	swedgeone		Cricetulus griseus		25.0	7.5
REAC_90	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS-Cx	Km	2E-7	M	tRNA(Arg)	Cricetulus griseus		25.0	7.5
REAC_90	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS-Cx	kcat	0.16	swedgeone		Cricetulus griseus		25.0	7.5
REAC_90	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS-Cx	Km	800000	Mwedgeoneswedgeone	kcat_Km_tRNAArg	Cricetulus griseus		25.0	7.5
