sabio_entry_id	ec_number	kegg_reaction_id	enzyme_name	parameter_type	parameter_value	parameter_unit	substrate	organism	tissue	temperature	ph	pubmed_id
REAC_12	6.1.1.6			Kd_tRNALys	3E-8	M		Cricetulus griseus		25.0	7.5
REAC_13	6.1.1.6			Kd_tRNALys	3E-6	M		Cricetulus griseus		25.0	7.5
REAC_14	6.1.1.6			Kd_AcctRNALys	5E-7	M		Cricetulus griseus		25.0	7.5
REAC_15	6.1.1.6			Kd_AnttRNALys	2E-7	M		Cricetulus griseus		25.0	7.5
REAC_16	6.1.1.6			Kd_AcctRNALys	6E-5	M		Cricetulus griseus		25.0	7.5
REAC_17	6.1.1.6	R03658	lysine---tRNA ligase(Enzyme) wildtype LysRS	Ki	1E-5	M	Ant-tRNA(Lys)	Cricetulus griseus		25.0	7.5
REAC_18	6.1.1.6			Kd_tRNALys	2E-5	M		Cricetulus griseus		25.0	7.5
REAC_19	6.1.1.6			Kd_AnttRNALys	6E-5	M		Cricetulus griseus		25.0	7.5
REAC_20	6.1.1.6			Kd_AcctRNALys	5E-5	M		Cricetulus griseus		25.0	7.5
REAC_21	6.1.1.6			Kd_AnttRNALys	1.5E-5	M		Cricetulus griseus		25.0	7.5
REAC_22	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS	Km	7E-7	M	L-Arginine	Cricetulus griseus		25.0	7.5
REAC_22	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS	kcat	10.2	swedgeone		Cricetulus griseus		25.0	7.5
REAC_22	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS	Km	14500000	Mwedgeoneswedgeone	kcat_Km_LArginine	Cricetulus griseus		25.0	7.5
REAC_23	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRSdeltaN	kcat	11.5	swedgeone		Cricetulus griseus		25.0	7.5
REAC_23	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRSdeltaN	Km	10500000	Mwedgeoneswedgeone	kcat_Km_LArginine	Cricetulus griseus		25.0	7.5
REAC_23	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRSdeltaN	Km	1.1E-6	M	L-Arginine	Cricetulus griseus		25.0	7.5
REAC_24	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y	Km	1.7E-6	M	L-Arginine	Cricetulus griseus		25.0	7.5
REAC_24	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y	kcat	2.6	swedgeone		Cricetulus griseus		25.0	7.5
REAC_24	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y	Km	1500000	Mwedgeoneswedgeone	kcat_Km_LArginine	Cricetulus griseus		25.0	7.5
REAC_25	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS	Km	9600000	Mwedgeoneswedgeone	kcat_Km_LArginine	Cricetulus griseus		37.0	7.5
REAC_25	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS	Km	2.3E-6	M	L-Arginine	Cricetulus griseus		37.0	7.5
REAC_25	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS	kcat	22	swedgeone		Cricetulus griseus		37.0	7.5
REAC_26	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRSdeltaN	kcat	28	swedgeone		Cricetulus griseus		37.0	7.5
REAC_26	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRSdeltaN	Km	2.8E-6	M	L-Arginine	Cricetulus griseus		37.0	7.5
REAC_26	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRSdeltaN	Km	10000000	Mwedgeoneswedgeone	kcat_Km_LArginine	Cricetulus griseus		37.0	7.5
REAC_27	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y	Km	2.4E-6	M	L-Arginine	Cricetulus griseus		37.0	7.5
REAC_27	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y	kcat	3.8	swedgeone		Cricetulus griseus		37.0	7.5
REAC_27	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y	Km	1600000	Mwedgeoneswedgeone	kcat_Km_LArginine	Cricetulus griseus		37.0	7.5
REAC_28	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/M222I	kcat	2.9	swedgeone		Cricetulus griseus		25.0	7.5
REAC_28	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/M222I	Km	1.5E-6	M	L-Arginine	Cricetulus griseus		25.0	7.5
REAC_28	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/M222I	Km	1900000	Mwedgeoneswedgeone	kcat_Km_LArginine	Cricetulus griseus		25.0	7.5
REAC_29	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant Y506S	kcat	14.3	swedgeone		Cricetulus griseus		37.0	7.5
REAC_29	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant Y506S	Km	10200000	Mwedgeoneswedgeone	kcat_Km_LArginine	Cricetulus griseus		37.0	7.5
REAC_29	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant Y506S	Km	1.4E-6	M	L-Arginine	Cricetulus griseus		37.0	7.5
REAC_30	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant Y506S	Km	13900000	Mwedgeoneswedgeone	kcat_Km_LArginine	Cricetulus griseus		25.0	7.5
REAC_30	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant Y506S	kcat	9.7	swedgeone		Cricetulus griseus		25.0	7.5
REAC_30	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant Y506S	Km	7E-7	M	L-Arginine	Cricetulus griseus		25.0	7.5
REAC_31	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/Y506S	Km	21500000	Mwedgeoneswedgeone	kcat_Km_LArginine	Cricetulus griseus		25.0	7.5
REAC_31	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/Y506S	Km	4E-7	M	L-Arginine	Cricetulus griseus		25.0	7.5
REAC_31	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/Y506S	kcat	8.6	swedgeone		Cricetulus griseus		25.0	7.5
REAC_32	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/M222I	Km	2.8E-6	M	L-Arginine	Cricetulus griseus		37.0	7.5
REAC_32	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/M222I	kcat	5.6	swedgeone		Cricetulus griseus		37.0	7.5
REAC_32	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/M222I	Km	2000000	Mwedgeoneswedgeone	kcat_Km_LArginine	Cricetulus griseus		37.0	7.5
REAC_33	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/Y506S	Km	6E-7	M	L-Arginine	Cricetulus griseus		37.0	7.5
REAC_33	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/Y506S	kcat	12.4	swedgeone		Cricetulus griseus		37.0	7.5
REAC_33	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/Y506S	Km	20700000	Mwedgeoneswedgeone	kcat_Km_LArginine	Cricetulus griseus		37.0	7.5
REAC_34	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant M222I	kcat	6	swedgeone		Cricetulus griseus		37.0	7.5
REAC_34	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant M222I	Km	2.8E-6	M	L-Arginine	Cricetulus griseus		37.0	7.5
REAC_34	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant M222I	Km	2100000	Mwedgeoneswedgeone	kcat_Km_LArginine	Cricetulus griseus		37.0	7.5
REAC_35	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant M222I	Km	1E-6	M	L-Arginine	Cricetulus griseus		25.0	7.5
REAC_35	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant M222I	Km	2400000	Mwedgeoneswedgeone	kcat_Km_LArginine	Cricetulus griseus		25.0	7.5
REAC_35	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant M222I	kcat	2.4	swedgeone		Cricetulus griseus		25.0	7.5
REAC_36	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS	kcat	1.4	swedgeone		Cricetulus griseus		25.0	7.5
REAC_36	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS	Km	1.3E-6	M	L-Arginine	Cricetulus griseus		25.0	7.5
REAC_36	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS	Km	1100000	Mwedgeoneswedgeone	kcat_Km_LArginine	Cricetulus griseus		25.0	7.5
REAC_37	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS	Km	1000000	Mwedgeoneswedgeone	kcat_Km_LArginine	Cricetulus griseus		37.0	7.5
REAC_37	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS	Km	2.4E-6	M	L-Arginine	Cricetulus griseus		37.0	7.5
REAC_37	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS	kcat	2.5	swedgeone		Cricetulus griseus		37.0	7.5
REAC_38	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS	Km	7200	Mwedgeoneswedgeone	kcat_Km_ATP	Cricetulus griseus		25.0	7.5
REAC_38	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS	Km	0.000194	M	ATP	Cricetulus griseus		25.0	7.5
REAC_38	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS	kcat	1.4	swedgeone		Cricetulus griseus		25.0	7.5
REAC_39	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y	Km	0.000102	M	ATP	Cricetulus griseus		25.0	7.5
REAC_39	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y	Km	1500	Mwedgeoneswedgeone	kcat_Km_ATP	Cricetulus griseus		25.0	7.5
REAC_39	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y	kcat	0.15	swedgeone		Cricetulus griseus		25.0	7.5
REAC_40	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRSdeltaN	Km	14000	Mwedgeoneswedgeone	kcat_Km_ATP	Cricetulus griseus		25.0	7.5
REAC_40	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRSdeltaN	Km	0.000152	M	ATP	Cricetulus griseus		25.0	7.5
REAC_40	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRSdeltaN	kcat	2.1	swedgeone		Cricetulus griseus		25.0	7.5
REAC_41	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS	Km	10000	Mwedgeoneswedgeone	kcat_Km_ATP	Cricetulus griseus		37.0	7.5
REAC_41	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS	kcat	2.5	swedgeone		Cricetulus griseus		37.0	7.5
REAC_41	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRS	Km	0.00024	M	ATP	Cricetulus griseus		37.0	7.5
REAC_42	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRSdeltaN	Km	0.000161	M	ATP	Cricetulus griseus		37.0	7.5
REAC_42	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRSdeltaN	Km	24000	Mwedgeoneswedgeone	kcat_Km_ATP	Cricetulus griseus		37.0	7.5
REAC_42	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRSdeltaN	kcat	3.8	swedgeone		Cricetulus griseus		37.0	7.5
REAC_43	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRSdeltaN	Km	2.5E-6	M	L-Arginine	Cricetulus griseus		37.0	7.5
REAC_43	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRSdeltaN	Km	900000	Mwedgeoneswedgeone	kcat_Km_LArginine	Cricetulus griseus		37.0	7.5
REAC_43	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRSdeltaN	kcat	2.3	swedgeone		Cricetulus griseus		37.0	7.5
REAC_44	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant M222I	kcat	1.9	swedgeone		Cricetulus griseus		25.0	7.5
REAC_44	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant M222I	Km	1360000	Mwedgeoneswedgeone	kcat_Km_LArginine	Cricetulus griseus		25.0	7.5
REAC_44	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant M222I	Km	1.4E-6	M	L-Arginine	Cricetulus griseus		25.0	7.5
REAC_45	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRSdeltaN	Km	1300000	Mwedgeoneswedgeone	kcat_Km_LArginine	Cricetulus griseus		25.0	7.5
REAC_45	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRSdeltaN	Km	1.5E-6	M	L-Arginine	Cricetulus griseus		25.0	7.5
REAC_45	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRSdeltaN	kcat	1.9	swedgeone		Cricetulus griseus		25.0	7.5
REAC_46	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant M222I	Km	1500000	Mwedgeoneswedgeone	kcat_Km_LArginine	Cricetulus griseus		37.0	7.5
REAC_46	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant M222I	kcat	2.7	swedgeone		Cricetulus griseus		37.0	7.5
REAC_46	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant M222I	Km	1.8E-6	M	L-Arginine	Cricetulus griseus		37.0	7.5
REAC_47	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/Y506S	kcat	0.08	swedgeone		Cricetulus griseus		25.0	7.5
REAC_47	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/Y506S	Km	11000	Mwedgeoneswedgeone	kcat_Km_ATP	Cricetulus griseus		25.0	7.5
REAC_47	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/Y506S	Km	7.2E-6	M	ATP	Cricetulus griseus		25.0	7.5
REAC_48	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y	kcat	0.07	swedgeone		Cricetulus griseus		37.0	7.5
REAC_48	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y	Km	0.000143	M	ATP	Cricetulus griseus		37.0	7.5
REAC_48	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y	Km	500	Mwedgeoneswedgeone	kcat_Km_ATP	Cricetulus griseus		37.0	7.5
REAC_49	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/Y506S	Km	9E-6	M	ATP	Cricetulus griseus		37.0	7.5
REAC_49	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/Y506S	Km	12000	Mwedgeoneswedgeone	kcat_Km_ATP	Cricetulus griseus		37.0	7.5
REAC_49	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/Y506S	kcat	0.11	swedgeone		Cricetulus griseus		37.0	7.5
REAC_50	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant Y506S	kcat	0.51	swedgeone		Cricetulus griseus		25.0	7.5
REAC_50	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant Y506S	Km	4.6E-5	M	ATP	Cricetulus griseus		25.0	7.5
REAC_50	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant Y506S	Km	11100	Mwedgeoneswedgeone	kcat_Km_ATP	Cricetulus griseus		25.0	7.5
REAC_51	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/M222I	kcat	0.1	swedgeone		Cricetulus griseus		37.0	7.5
REAC_51	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/M222I	Km	1300	Mwedgeoneswedgeone	kcat_Km_ATP	Cricetulus griseus		37.0	7.5
REAC_51	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/M222I	Km	7.9E-5	M	ATP	Cricetulus griseus		37.0	7.5
REAC_52	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant Y506S	Km	5.4E-5	M	ATP	Cricetulus griseus		37.0	7.5
REAC_52	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant Y506S	Km	6900	Mwedgeoneswedgeone	kcat_Km_ATP	Cricetulus griseus		37.0	7.5
REAC_52	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant Y506S	kcat	0.37	swedgeone		Cricetulus griseus		37.0	7.5
REAC_53	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/M222I	Km	5.3E-5	M	ATP	Cricetulus griseus		25.0	7.5
REAC_53	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/M222I	kcat	0.11	swedgeone		Cricetulus griseus		25.0	7.5
REAC_53	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/M222I	Km	2100	Mwedgeoneswedgeone	kcat_Km_ATP	Cricetulus griseus		25.0	7.5
REAC_54	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant M222I	Km	46000	Mwedgeoneswedgeone	kcat_Km_ATP	Cricetulus griseus		25.0	7.5
REAC_54	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant M222I	kcat	2.2	swedgeone		Cricetulus griseus		25.0	7.5
REAC_54	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant M222I	Km	4.8E-5	M	ATP	Cricetulus griseus		25.0	7.5
